Date,OutflowKcfs,SpillKcfs,DissolvedGasMmHg
2015-10-16,14.517,0.000,
2015-10-17,15.225,0.000,
2015-10-18,12.842,0.000,
2015-10-19,13.846,0.000,
2015-10-20,18.275,0.000,
2015-10-21,17.133,0.000,
2015-10-22,15.963,0.104,
2015-10-23,17.375,0.000,
2015-10-24,18.154,0.000,
2015-10-25,16.796,0.000,
2015-10-26,17.075,0.000,
2015-10-27,18.392,0.000,
2015-10-28,17.463,0.000,
2015-10-29,13.908,0.000,
2015-10-30,16.596,0.000,
2015-10-31,16.525,0.000,
2015-11-01,18.024,0.000,
2015-11-02,26.613,0.000,
2015-11-03,21.867,0.000,
2015-11-04,21.267,0.000,
2015-11-05,20.983,0.000,
2015-11-06,20.588,0.000,
2015-11-07,19.329,0.000,
2015-11-08,13.629,0.000,
2015-11-09,20.938,0.000,
2015-11-10,18.258,0.000,
2015-11-11,19.521,0.000,
2015-11-12,19.983,0.000,
2015-11-13,15.413,0.000,
2015-11-14,23.683,0.000,
2015-11-15,17.725,0.000,
2015-11-16,18.450,0.000,
2015-11-17,14.979,0.000,
2015-11-18,18.779,0.000,
2015-11-19,19.275,0.000,
2015-11-20,19.779,0.000,
2015-11-21,21.329,0.000,
2015-11-22,15.233,0.000,
2015-11-23,18.554,0.000,
2015-11-24,17.717,0.000,
2015-11-25,19.250,0.000,
2015-11-26,15.717,0.000,
2015-11-27,15.171,0.000,
2015-11-28,18.046,0.000,
2015-11-29,18.229,0.000,
2015-11-30,14.558,0.000,
2015-12-01,13.446,0.000,
2015-12-02,14.225,0.000,
2015-12-03,12.725,0.000,
2015-12-04,15.300,0.000,
2015-12-05,18.742,0.000,
2015-12-06,18.671,0.000,
2015-12-07,18.138,0.000,
2015-12-08,21.954,0.000,
2015-12-09,28.271,0.000,
2015-12-10,28.900,0.000,
2015-12-11,32.496,0.000,
2015-12-12,32.567,0.000,
2015-12-13,22.575,0.000,
2015-12-14,28.538,0.000,
2015-12-15,29.204,0.000,
2015-12-16,24.783,0.000,
2015-12-17,24.021,0.000,
2015-12-18,24.408,0.000,
2015-12-19,21.883,0.000,
2015-12-20,22.650,0.000,
2015-12-21,28.538,0.000,
2015-12-22,25.583,0.000,
2015-12-23,23.442,0.000,
2015-12-24,23.025,0.000,
2015-12-25,23.475,0.000,
2015-12-26,21.346,0.000,
2015-12-27,21.946,0.000,
2015-12-28,24.771,0.000,
2015-12-29,19.646,0.000,
2015-12-30,24.129,0.000,
2015-12-31,21.550,0.000,
